Year,Home_goals,Away_goals,Home Team,Away Team,Home Team ISO,Away Team ISO
1930,4,1,france,mexico,FRA,MEX
1930,3,0,usa,belgium,USA,BEL
1930,2,1,yugoslavia,brazil,YUG,BRA
1930,3,1,romania,peru,ROU,PER
1930,1,0,argentina,france,ARG,FRA
1930,3,0,chile,mexico,CHL,MEX
1930,4,0,yugoslavia,bolivia,YUG,BOL
1930,3,0,usa,paraguay,USA,PRY
1930,1,0,uruguay,peru,URY,PER
1930,1,0,chile,france,CHL,FRA
1930,6,3,argentina,mexico,ARG,MEX
1930,4,0,brazil,bolivia,BRA,BOL
1930,1,0,paraguay,belgium,PRY,BEL
1930,4,0,uruguay,romania,URY,ROU
1930,3,1,argentina,chile,ARG,CHL
1930,6,1,argentina,usa,ARG,USA
1930,6,1,uruguay,yugoslavia,URY,YUG
1930,4,2,uruguay,argentina,URY,ARG
1934,3,2,austria,france,AUT,FRA
1934,4,2,hungary,egypt,HUN,EGY
1934,3,2,switzerland,netherlands,CHE,NLD
1934,3,2,sweden,argentina,SWE,ARG
1934,5,2,germany,belgium,DEU,BEL
1934,3,1,spain,brazil,ESP,BRA
1934,7,1,italy,usa,ITA,USA
1934,2,1,czechoslovakia,romania,CZE,ROU
1934,3,2,czechoslovakia,switzerland,CZE,CHE
1934,2,1,germany,sweden,DEU,SWE
1934,1,1,italy,spain,ITA,ESP
1934,2,1,austria,hungary,AUT,HUN
1934,1,0,italy,spain,ITA,ESP
1934,1,0,italy,austria,ITA,AUT
1934,3,1,czechoslovakia,germany,CZE,DEU
1934,3,2,germany,austria,DEU,AUT
1934,2,1,italy,czechoslovakia,ITA,CZE
1938,1,1,switzerland,germany,CHE,DEU
1938,6,0,hungary,dutch east indies,HUN,INH
1938,3,1,france,belgium,FRA,BEL
1938,3,3,cuba,romania,CUB,ROU
1938,2,1,italy,norway,ITA,NOR
1938,6,5,brazil,poland,BRA,POL
1938,3,0,czechoslovakia,netherlands,CZE,NLD
1938,2,1,cuba,romania,CUB,ROU
1938,4,2,switzerland,germany,CHE,DEU
1938,1,1,brazil,czechoslovakia,BRA,CZE
1938,2,0,hungary,switzerland,HUN,CHE
1938,8,0,sweden,cuba,SWE,CUB
1938,3,1,italy,france,ITA,FRA
1938,2,1,brazil,czechoslovakia,BRA,CZE
1938,5,1,hungary,sweden,HUN,SWE
1938,2,1,italy,brazil,ITA,BRA
1938,4,2,brazil,sweden,BRA,SWE
1938,4,2,italy,hungary,ITA,HUN
1950,4,0,brazil,mexico,BRA,MEX
1950,2,0,england,chile,ENG,CHL
1950,3,1,spain,usa,ESP,USA
1950,3,2,sweden,italy,SWE,ITA
1950,3,0,yugoslavia,switzerland,YUG,CHE
1950,2,2,brazil,switzerland,BRA,CHE
1950,4,1,yugoslavia,mexico,YUG,MEX
1950,2,0,spain,chile,ESP,CHL
1950,2,2,sweden,paraguay,SWE,PRY
1950,1,0,usa,england,USA,ENG
1950,2,0,brazil,yugoslavia,BRA,YUG
1950,1,0,spain,england,ESP,ENG
1950,2,0,italy,paraguay,ITA,PRY
1950,8,0,uruguay,bolivia,URY,BOL
1950,2,1,switzerland,mexico,CHE,MEX
1950,5,2,chile,usa,CHL,USA
1950,2,2,uruguay,spain,URY,ESP
1950,7,1,brazil,sweden,BRA,SWE
1950,6,1,brazil,spain,BRA,ESP
1950,3,2,uruguay,sweden,URY,SWE
1950,3,1,sweden,spain,SWE,ESP
1950,2,1,uruguay,brazil,URY,BRA
1954,2,0,uruguay,czechoslovakia,URY,CZE
1954,1,0,austria,scotland,AUT,SCT
1954,5,0,brazil,mexico,BRA,MEX
1954,1,0,yugoslavia,france,YUG,FRA
1954,4,1,germany fr,turkey,DEU,TUR
1954,9,0,hungary,korea republic,HUN,KOR
1954,4,4,england,belgium,ENG,BEL
1954,2,1,switzerland,italy,CHE,ITA
1954,7,0,uruguay,scotland,URY,SCT
1954,5,0,austria,czechoslovakia,AUT,CZE
1954,3,2,france,mexico,FRA,MEX
1954,1,1,brazil,yugoslavia,BRA,YUG
1954,8,3,hungary,germany fr,HUN,DEU
1954,7,0,turkey,korea republic,TUR,KOR
1954,2,0,england,switzerland,ENG,CHE
1954,4,1,italy,belgium,ITA,BEL
1954,7,2,germany fr,turkey,DEU,TUR
1954,4,1,switzerland,italy,CHE,ITA
1954,4,2,uruguay,england,URY,ENG
